Fecha,Compra,Venta
3-12-2021,137.00,142.00
3-11-2021,135.00,140.00
3-10-2021,138.00,143.00
3-9-2021,139.00,144.00
3-8-2021,139.00,144.00
3-5-2021,139.00,144.00
3-4-2021,139.00,144.00
3-3-2021,140.00,145.00
3-2-2021,140.00,145.00
3-1-2021,142.00,147.00
3-1-2021,141.00,146.00
3-1-2021,141.00,146.00
2-26-2021,141.00,146.00
2-25-2021,138.00,143.00
2-24-2021,140.00,145.00
2-23-2021,141.00,146.00
2-22-2021,142.00,147.00
2-19-2021,142.00,147.00
2-18-2021,148.00,148.00
2-17-2021,144.00,149.00
2-12-2021,145.00,150.00
2-11-2021,144.00,149.00
2-10-2021,146.00,151.00
2-9-2021,147.00,152.00
2-8-2021,146.00,151.00
2-8-2021,146.00,151.00
2-8-2021,146.00,151.00
2-8-2021,146.00,151.00
2-5-2021,146.00,151.00
2-4-2021,145.00,150.00
2-3-2021,148.00,153.00
2-2-2021,148.00,153.00
2-1-2021,148.00,153.00
1-29-2021,148.00,153.00
1-28-2021,149.00,154.00
1-27-2021,149.00,154.00
1-26-2021,151.00,156.00
1-25-2021,151.00,156.00
1-22-2021,151.00,156.00
1-22-2021,151.00,156.00
1-21-2021,151.00,156.00
1-20-2021,151.00,156.00
1-19-2021,152.00,157.00
1-15-2021,153.00,159.00
1-14-2021,153.00,159.00
1-13-2021,154.00,160.00
1-12-2021,153.00,159.00
1-11-2021,153.00,159.00
1-8-2021,155.00,161.00
1-7-2021,156.00,162.00
1-6-2021,154.00,160.00
1-5-2021,154.00,160.00
1-4-2021,159.00,165.00
12-30-2020,160.00,166.00
12-29-2020,159.00,165.00
12-28-2020,158.00,164.00
12-23-2020,153.00,159.00
12-22-2020,146.00,152.00
12-22-2020,145.00,151.00
12-21-2020,144.00,150.00
12-18-2020,144.00,150.00
12-17-2020,143.00,149.00
12-16-2020,144.00,150.00
12-15-2020,145.00,151.00
12-14-2020,145.00,151.00
12-11-2020,142.00,148.00
12-10-2020,140.00,146.00
12-9-2020,143.00,149.00
12-4-2020,144.00,150.00
12-3-2020,145.00,151.00
12-2-2020,147.00,153.00
12-1-2020,147.00,153.00
11-30-2020,149.00,155.00
11-27-2020,150.00,156.00
11-26-2020,151.00,157.00
11-25-2020,152.00,158.00
11-24-2020,154.00,160.00
11-20-2020,155.00,161.00
11-19-2020,157.00,163.00
11-18-2020,158.00,164.00
11-17-2020,157.00,163.00
11-16-2020,156.00,162.00
11-13-2020,166.00,172.00
11-12-2020,161.00,167.00
11-11-2020,156.00,162.00
11-10-2020,143.00,149.00
11-9-2020,145.00,151.00
11-6-2020,151.00,157.00
11-5-2020,151.00,157.00
11-4-2020,155.00,161.00
11-3-2020,159.00,165.00
11-2-2020,162.00,168.00
10-30-2020,163.00,169.00
10-29-2020,169.00,175.00
10-28-2020,172.00,178.00
10-27-2020,175.00,181.00
10-26-2020,184.00,190.00
10-23-2020,189.00,195.00
10-22-2020,184.00,190.00
10-21-2020,177.00,183.00
10-20-2020,174.00,180.00
