indice_tiempo,salario_minimo_vital_movil_mensual,salario_minimo_vital_movil_diario,salario_minimo_vital_movil_hora
1965-01-01,9800.0,392.0,49.0
1965-02-01,9800.0,392.0,49.0
1965-03-01,9800.0,392.0,49.0
1965-04-01,9800.0,392.0,49.0
1965-05-01,11550.0,462.0,57.75
1965-06-01,11550.0,462.0,57.75
1965-07-01,11550.0,462.0,57.75
1965-08-01,11550.0,462.0,57.75
1965-09-01,11550.0,462.0,57.75
1965-10-01,11550.0,462.0,57.75
1965-11-01,13440.0,537.6,67.2
1965-12-01,13440.0,537.6,67.2
1966-01-01,13440.0,537.6,67.2
1966-02-01,13440.0,537.6,67.2
1966-03-01,13440.0,537.6,67.2
1966-04-01,13440.0,537.6,67.2
1966-05-01,15750.0,630.0,78.75
1966-06-01,15750.0,630.0,78.75
1966-07-01,15750.0,630.0,78.75
1966-08-01,15750.0,630.0,78.75
1966-09-01,15750.0,630.0,78.75
1966-10-01,15750.0,630.0,78.75
1966-11-01,15750.0,630.0,78.75
1966-12-01,15750.0,630.0,78.75
1967-01-01,15750.0,630.0,78.75
1967-02-01,15750.0,630.0,78.75
1967-03-01,15750.0,630.0,78.75
1967-04-01,15750.0,630.0,78.75
1967-05-01,15750.0,630.0,78.75
1967-06-01,15750.0,630.0,78.75
1967-07-01,15750.0,630.0,78.75
1967-08-01,15750.0,630.0,78.75
1967-09-01,15750.0,630.0,78.75
1967-10-01,15750.0,630.0,78.75
1967-11-01,15750.0,630.0,78.75
1967-12-01,15750.0,630.0,78.75
1968-01-01,15750.0,630.0,78.75
1968-02-01,15750.0,630.0,78.75
1968-03-01,15750.0,630.0,78.75
1968-04-01,15750.0,630.0,78.75
1968-05-01,15750.0,630.0,78.75
1968-06-01,15750.0,630.0,78.75
1968-07-01,15750.0,630.0,78.75
1968-08-01,15750.0,630.0,78.75
1968-09-01,15750.0,630.0,78.75
1968-10-01,15750.0,630.0,78.75
1968-11-01,15750.0,630.0,78.75
1968-12-01,15750.0,630.0,78.75
1969-01-01,20000.0,800.0,100.0
1969-02-01,20000.0,800.0,100.0
1969-03-01,20000.0,800.0,100.0
1969-04-01,20000.0,800.0,100.0
1969-05-01,20000.0,800.0,100.0
1969-06-01,20000.0,800.0,100.0
1969-07-01,20000.0,800.0,100.0
1969-08-01,20000.0,800.0,100.0
1969-09-01,20000.0,800.0,100.0
1969-10-01,20000.0,800.0,100.0
1969-11-01,20000.0,800.0,100.0
1969-12-01,20000.0,800.0,100.0
1970-01-01,220.0,8.8,1.1
1970-02-01,220.0,8.8,1.1
1970-03-01,220.0,8.8,1.1
