indice_tiempo,mensual_pesos
1971-01-01,1.7e-09
1971-02-01,1.7e-09
1971-03-01,1.7e-09
1971-04-01,1.7e-09
1971-05-01,2.5e-09
1971-06-01,2.5e-09
1971-07-01,2.5e-09
1971-08-01,2.5e-09
1971-09-01,2.5e-09
1971-10-01,2.88e-09
1971-11-01,2.88e-09
1971-12-01,2.88e-09
1972-01-01,2.88e-09
1972-02-01,2.88e-09
1972-03-01,2.88e-09
1972-04-01,2.88e-09
1972-05-01,2.88e-09
1972-06-01,2.88e-09
1972-07-01,3.3e-09
1972-08-01,3.3e-09
1972-09-01,3.3e-09
1972-10-01,3.7e-09
1972-11-01,3.7e-09
1972-12-01,3.7e-09
1973-01-01,4.62e-09
1973-02-01,4.62e-09
1973-03-01,4.62e-09
1973-04-01,4.62e-09
1973-05-01,4.62e-09
1973-06-01,6.15e-09
1973-07-01,6.15e-09
1973-08-01,6.15e-09
1973-09-01,6.15e-09
1973-10-01,6.15e-09
1973-11-01,6.15e-09
1973-12-01,6.15e-09
1974-01-01,8e-09
1974-02-01,8e-09
1974-03-01,8e-09
1974-04-01,8e-09
1974-05-01,8e-09
1974-06-01,1e-08
1974-07-01,1e-08
1974-08-01,1e-08
1974-09-01,1e-08
1974-10-01,1e-08
1974-11-01,1e-08
1974-12-01,1e-08
1975-01-01,1.3e-08
1975-02-01,1.3e-08
1975-03-01,1.63e-08
1975-04-01,1.63e-08
1975-05-01,1.63e-08
1975-06-01,4.238e-08
1975-07-01,4.238e-08
1975-08-01,4.238e-08
1975-09-01,4.238e-08
1975-10-01,4.238e-08
1975-11-01,4.66e-08
1975-12-01,4.66e-08
1976-01-01,6.48e-08
1976-02-01,6.48e-08
1976-03-01,8.06e-08
1976-04-01,8.06e-08
1976-05-01,8.06e-08
1976-06-01,1e-07
1976-07-01,1e-07
1976-08-01,1e-07
1976-09-01,1.12e-07
1976-10-01,1.12e-07
1976-11-01,1.288e-07
1976-12-01,1.288e-07
1977-01-01,1.5456e-07
1977-02-01,1.5456e-07
1977-03-01,1.824e-07
1977-04-01,1.824e-07
1977-05-01,2.124e-07
1977-06-01,2.124e-07
1977-07-01,2.66e-07
1977-08-01,2.66e-07
1977-09-01,3e-07
1977-10-01,3e-07
1977-11-01,3e-07
1977-12-01,3e-07
1978-01-01,4.86e-07
1978-02-01,4.86e-07
1978-03-01,4.86e-07
1978-04-01,5.6e-07
1978-05-01,5.6e-07
1978-06-01,8e-07
1978-07-01,8e-07
1978-08-01,8e-07
1978-09-01,1e-06
1978-10-01,1e-06
1978-11-01,1e-06
1978-12-01,1.4e-06
1979-01-01,1.4e-06
1979-02-01,1.4e-06
1979-03-01,1.75e-06
1979-04-01,1.75e-06
1979-05-01,1.75e-06
1979-06-01,1.75e-06
1979-07-01,1.75e-06
1979-08-01,2.1875e-06
1979-09-01,2.1875e-06
1979-10-01,2.1875e-06
1979-11-01,2.1875e-06
1979-12-01,3e-06
1980-01-01,3e-06
1980-02-01,3e-06
1980-03-01,3e-06
1980-04-01,3.72e-06
1980-05-01,3.72e-06
1980-06-01,3.72e-06
1980-07-01,4.464e-06
1980-08-01,4.464e-06
1980-09-01,4.464e-06
1980-10-01,5.1783e-06
1980-11-01,5.1783e-06
1980-12-01,5.1783e-06
1981-01-01,6.214e-06
1981-02-01,6.214e-06
1981-03-01,6.214e-06
1981-04-01,7.2083e-06
1981-05-01,7.2083e-06
1981-06-01,7.2083e-06
1981-07-01,1e-05
1981-08-01,1e-05
1981-09-01,1e-05
1981-10-01,1.15e-05
1981-11-01,1.15e-05
1981-12-01,1.15e-05
1982-01-01,1.15e-05
1982-02-01,1.15e-05
1982-03-01,1.15e-05
1982-04-01,1.5e-05
1982-05-01,1.5e-05
1982-06-01,1.5e-05
1982-07-01,1.85e-05
1982-08-01,1.85e-05
1982-09-01,2.5e-05
1982-10-01,2.8e-05
1982-11-01,3.276e-05
1982-12-01,4e-05
1983-01-01,4.56e-05
1983-02-01,5.1e-05
1983-03-01,6e-05
1983-04-01,7e-05
1983-05-01,7.84e-05
1983-06-01,8.8e-05
1983-07-01,8.8e-05
1983-08-01,0.000104
1983-09-01,0.00014
1983-10-01,0.000168
1983-11-01,0.0002
1983-12-01,0.000238
1984-01-01,0.0002761
1984-02-01,0.0003037
1984-03-01,0.0003341
1984-04-01,0.000426
1984-05-01,0.0004644
1984-06-01,0.0005387
1984-07-01,0.0006626
1984-08-01,0.0007952
1984-09-01,0.000963
1984-10-01,0.0012134
1984-11-01,0.0014075
1984-12-01,0.0016328
1985-01-01,0.0019594
1985-02-01,0.0023513
1985-03-01,0.0028216
1985-04-01,0.0036116
1985-05-01,0.004677
1985-06-01,0.005851
1985-07-01,0.0058509999999999
1985-08-01,0.0058509999999999
1985-09-01,0.0058509999999999
1985-10-01,0.0067
1985-11-01,0.0067
1985-12-01,0.0067
1986-01-01,0.007
1986-02-01,0.007
1986-03-01,0.007
1986-04-01,0.008
1986-05-01,0.008
1986-06-01,0.0095
1986-07-01,0.0095
1986-08-01,0.0095
1986-09-01,0.0105
1986-10-01,0.0105
1986-11-01,0.0115
1986-12-01,0.0115
1987-01-01,0.0126
1987-02-01,0.0126
1987-03-01,0.0132
1987-04-01,0.0132
1987-05-01,0.014
1987-06-01,0.014
1987-07-01,0.014
1987-08-01,0.015
1987-09-01,0.0165
1987-10-01,0.0185
1987-11-01,0.0185
1987-12-01,0.0185
1988-01-01,0.0185
1988-02-01,0.026
1988-03-01,0.03
1988-04-01,0.04
1988-05-01,0.04
1988-06-01,0.07
1988-07-01,0.082
1988-08-01,0.094
1988-09-01,0.1185
1988-10-01,0.1305
1988-11-01,0.1305
1988-12-01,0.147
1989-01-01,0.147
1989-02-01,0.17
1989-03-01,0.17
1989-04-01,0.2585
1989-05-01,0.3232
1989-06-01,0.72
1989-07-01,1.64
1989-08-01,2.8
1989-09-01,2.8
1989-10-01,4.0
1989-11-01,4.0
1989-12-01,6.4
1990-01-01,10.46
1990-02-01,13.0
1990-03-01,20.02
1990-04-01,40.04
1990-05-01,47.047
1990-06-01,53.0
1990-07-01,53.0
1990-08-01,62.0
1990-09-01,67.0
1990-10-01,75.0
1990-11-01,80.0
1990-12-01,80.0
1991-01-01,80.0
1991-02-01,100.0
1991-03-01,120.0
1991-04-01,120.0
1991-05-01,120.0
1991-06-01,120.0
1991-07-01,120.0
1991-08-01,150.0
1991-09-01,150.0
1991-10-01,150.0
1991-11-01,150.0
1991-12-01,150.0
1992-01-01,150.0
1992-02-01,150.0
1992-03-01,150.0
1992-04-01,150.0
1992-05-01,150.0
1992-06-01,150.0
1992-07-01,150.0
1992-08-01,150.0
1992-09-01,150.0
1992-10-01,150.0
1992-11-01,150.0
1992-12-01,150.0
1993-01-01,150.0
1993-02-01,150.0
1993-03-01,150.0
1993-04-01,150.0
1993-05-01,150.0
1993-06-01,150.0
1993-07-01,150.0
1993-08-01,150.0
1993-09-01,150.0
1993-10-01,150.0
1993-11-01,150.0
1993-12-01,150.0
1994-01-01,150.0
1994-02-01,150.0
1994-03-01,150.0
1994-04-01,150.0
1994-05-01,150.0
1994-06-01,150.0
1994-07-01,150.0
1994-08-01,150.0
1994-09-01,150.0
1994-10-01,150.0
1994-11-01,150.0
1994-12-01,150.0
1995-01-01,150.0
1995-02-01,150.0
1995-03-01,150.0
1995-04-01,150.0
1995-05-01,150.0
